,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,make_code
44412,13.6,34.2,0.0,8.8,12.8,5,35.0,2,13,2.0,11.0,50.0,20.0,1015.8,1011.6,7.0,6.0,21.9,31.8,0,0,0
5939,17.9,35.2,0.0,12.0,12.3,11,48.0,1,12,6.0,20.0,20.0,13.0,1006.3,1004.4,2.0,5.0,26.6,33.4,0,0,0
117891,19.1,36.5,0.0,11.6,13.1,0,37.0,0,10,15.0,13.0,99.0,52.0,1010.5,1007.7,0.0,0.0,22.6,35.4,0,0,0
81877,22.2,33.9,0.0,9.0,6.9,13,44.0,9,5,4.0,13.0,60.0,65.0,1007.4,1005.1,5.0,7.0,29.7,30.9,0,0,0
96977,12.6,17.0,0.8,4.8,6.5,12,56.0,12,12,28.0,35.0,66.0,43.0,1008.3,1011.6,7.0,5.0,14.3,16.6,0,0,0
114698,18.8,37.2,0.0,11.6,13.1,0,56.0,0,1,30.0,15.0,48.0,22.0,1011.0,1007.9,0.0,0.0,22.2,35.0,0,0,0
90854,24.8,31.9,1.4,6.4,4.8,6,39.0,6,3,2.0,19.0,77.0,69.0,1008.0,1005.4,7.0,7.0,28.8,29.9,1,0,0
8927,16.1,31.4,0.0,7.4,11.4,5,54.0,3,5,7.0,37.0,51.0,58.0,1005.9,1002.3,1.0,5.0,26.5,28.4,0,0,0
20618,20.4,25.8,0.0,6.0,12.4,6,31.0,6,7,13.0,19.0,84.0,71.0,1014.5,1013.6,3.0,1.0,23.3,24.7,0,0,0
68180,13.8,27.4,0.0,9.6,12.6,11,56.0,12,15,17.0,31.0,51.0,24.0,1009.8,1008.5,6.0,1.0,19.2,26.0,0,0,0
12245,20.6,23.9,1.2,5.2,0.0,4,33.0,4,4,20.0,19.0,87.0,81.0,1014.6,1012.2,8.0,8.0,21.6,23.9,1,1,1
115063,13.2,31.3,0.0,8.2,13.1,15,39.0,10,13,13.0,26.0,41.0,37.0,1017.7,1015.7,0.0,0.0,21.7,28.8,0,0,0
82239,23.6,29.6,1.4,7.6,6.0,1,31.0,4,5,13.0,13.0,61.0,66.0,1016.0,1013.5,7.0,7.0,27.4,27.8,1,0,0
9291,21.4,28.4,0.0,2.8,2.6,5,52.0,6,4,9.0,35.0,73.0,66.0,1015.9,1012.5,7.0,6.0,24.3,26.4,0,0,0
33199,21.4,30.2,0.0,2.8,1.1,6,50.0,3,6,15.0,30.0,74.0,50.0,1013.9,1009.9,7.0,7.0,25.5,29.4,0,0,0
97342,14.3,24.8,0.2,11.4,11.0,8,44.0,9,8,15.0,28.0,61.0,45.0,1011.3,1008.6,7.0,1.0,17.8,22.7,0,0,0
39179,20.7,30.6,0.0,4.0,1.6,13,33.0,6,14,13.0,17.0,78.0,51.0,1017.6,1015.2,7.0,7.0,23.8,30.0,0,1,1
73121,14.3,19.8,0.0,11.4,11.0,12,41.0,10,9,11.0,19.0,67.0,61.0,1011.6,1009.8,8.0,7.0,15.6,18.5,0,0,0
118256,14.0,28.1,0.0,8.2,13.1,11,39.0,10,12,13.0,19.0,47.0,40.0,1017.6,1015.8,0.0,0.0,20.7,27.1,0,0,0
20983,18.6,24.5,0.0,7.4,5.2,0,50.0,0,0,26.0,31.0,53.0,55.0,1021.5,1019.6,1.0,2.0,22.4,23.4,0,0,0
118621,17.4,36.4,0.0,10.2,13.2,8,33.0,2,9,11.0,13.0,44.0,20.0,1011.3,1007.5,0.0,1.0,24.5,35.2,0,0,0
36569,20.0,37.4,0.0,8.6,9.0,8,30.0,4,15,9.0,7.0,43.0,26.0,1012.2,1009.4,5.0,3.0,28.2,35.7,0,0,0
12610,20.2,35.7,0.0,12.0,13.5,4,37.0,5,2,26.0,11.0,51.0,20.0,1015.1,1010.6,0.0,1.0,23.9,33.4,0,0,0
136835,24.9,32.6,0.0,3.8,6.0,3,61.0,10,3,11.0,24.0,75.0,95.0,1007.6,1005.6,7.0,7.0,29.1,23.5,0,1,1
82600,21.7,28.4,0.4,6.6,0.0,2,30.0,10,9,7.0,6.0,89.0,90.0,1014.4,1012.9,8.0,8.0,23.0,24.1,0,1,1
60466,18.8,24.7,0.0,9.4,7.6,15,48.0,13,12,30.0,13.0,63.0,56.0,1009.9,1010.4,4.0,7.0,20.4,22.1,0,0,0
115428,17.2,36.8,0.0,10.2,13.2,2,63.0,2,2,20.0,24.0,40.0,17.0,1011.8,1007.6,0.0,1.0,24.9,36.2,0,0,0
33564,20.6,33.3,0.0,10.0,10.8,4,56.0,3,4,11.0,30.0,60.0,45.0,1013.4,1009.9,0.0,1.0,26.8,29.8,0,0,0
73485,13.9,19.3,0.0,11.6,12.5,13,37.0,15,14,19.0,22.0,68.0,63.0,1013.1,1014.3,2.0,1.0,15.8,18.6,0,0,0
97707,13.9,22.2,0.0,11.6,12.5,12,35.0,15,12,13.0,26.0,60.0,52.0,1013.5,1014.4,4.0,6.0,17.4,20.3,0,0,0
76481,16.5,23.1,0.0,14.2,6.2,12,30.0,11,12,15.0,9.0,76.0,53.0,1012.2,1012.5,7.0,6.0,17.0,22.1,0,0,0
9656,17.8,27.1,0.0,6.0,13.0,4,52.0,6,4,6.0,31.0,58.0,66.0,1015.9,1013.3,2.0,1.0,25.0,26.6,0,0,0
115763,19.7,27.4,0.0,9.2,2.7,9,39.0,9,10,13.0,15.0,56.0,52.0,1010.7,1009.4,6.0,7.0,24.1,26.2,0,0,0
101040,20.7,39.9,0.0,13.0,13.2,9,35.0,4,15,11.0,15.0,24.0,8.0,1012.1,1009.0,0.0,3.0,30.2,38.8,0,0,0
21682,19.6,23.4,0.2,7.0,10.0,11,30.0,11,8,17.0,20.0,75.0,74.0,1011.4,1010.5,4.0,3.0,20.8,22.3,0,1,1
36904,16.9,33.2,0.0,9.2,13.6,8,24.0,0,11,9.0,7.0,51.0,29.0,1016.4,1013.0,0.0,2.0,24.9,32.1,0,0,0
69245,20.9,38.8,0.0,10.8,13.6,6,35.0,3,4,20.0,13.0,25.0,12.0,1013.9,1010.8,0.0,1.0,29.7,38.0,0,0,0
133986,24.2,42.4,0.0,13.4,10.8,4,41.0,5,4,24.0,9.0,21.0,9.0,1007.2,1002.6,1.0,6.0,35.7,40.9,0,0,0
60801,12.9,26.9,0.0,7.0,12.7,9,31.0,4,0,6.0,22.0,78.0,49.0,1015.7,1014.1,1.0,4.0,21.0,26.0,0,0,0
85951,24.2,30.6,0.0,7.8,8.4,9,50.0,8,2,22.0,35.0,68.0,55.0,1010.8,1008.6,3.0,3.0,28.8,29.9,0,1,1
91918,23.8,32.1,0.0,12.0,11.4,1,43.0,2,1,26.0,33.0,55.0,52.0,1012.7,1009.5,2.0,2.0,29.1,30.6,0,0,0
12943,16.9,31.3,0.0,9.2,13.3,4,33.0,5,10,17.0,9.0,58.0,34.0,1016.5,1012.6,1.0,4.0,22.4,29.0,0,0,0
98042,11.3,36.2,0.0,8.6,12.5,11,35.0,0,8,11.0,22.0,49.0,21.0,1012.8,1010.5,1.0,2.0,24.0,34.9,0,0,0
9991,16.9,25.4,1.2,3.0,11.8,15,26.0,12,2,15.0,17.0,56.0,56.0,1017.3,1015.9,6.0,1.0,22.1,24.1,1,0,0
118956,20.0,27.7,0.0,9.2,2.7,12,37.0,9,8,11.0,13.0,57.0,53.0,1010.4,1009.0,6.0,7.0,24.6,26.7,0,0,0
33899,17.0,27.6,0.0,5.6,13.1,1,39.0,6,4,17.0,31.0,51.0,37.0,1018.1,1015.2,1.0,0.0,22.1,27.2,0,0,0
76816,15.8,36.6,0.0,10.6,13.7,7,30.0,4,6,6.0,9.0,70.0,24.0,1015.3,1011.5,1.0,2.0,22.6,34.7,0,0,0
101375,7.9,33.0,0.0,10.0,13.3,11,41.0,4,15,2.0,24.0,20.0,12.0,1016.1,1014.6,2.0,0.0,24.0,32.0,0,0,0
74150,14.0,20.2,0.0,7.8,6.9,15,43.0,13,15,22.0,28.0,76.0,72.0,1015.0,1015.4,8.0,8.0,16.2,17.9,0,0,0
64136,12.1,28.9,0.0,7.0,13.0,11,50.0,11,10,7.0,20.0,67.0,40.0,1013.8,1011.5,3.0,7.0,17.1,25.8,0,0,0
40055,18.2,37.6,0.0,9.4,12.7,14,54.0,14,9,31.0,17.0,28.0,50.0,1012.1,1008.0,1.0,2.0,31.3,32.2,0,0,0
31229,20.2,26.2,0.0,11.0,10.9,0,30.0,2,0,9.0,19.0,70.0,68.0,1012.0,1008.6,6.0,3.0,23.2,24.1,0,0,0
119291,25.1,30.8,0.0,10.0,8.5,14,35.0,14,7,11.0,13.0,62.0,68.0,1009.1,1009.4,1.0,5.0,29.6,27.4,0,0,0
37239,11.7,35.6,0.0,12.2,13.5,15,56.0,3,13,7.0,35.0,26.0,6.0,1012.8,1009.4,3.0,2.0,22.5,34.7,0,0,0
34234,20.2,27.1,0.0,11.0,10.9,8,37.0,10,0,13.0,20.0,81.0,58.0,1012.3,1008.5,6.0,3.0,22.0,26.4,0,0,0
137505,26.7,34.4,0.0,4.5,10.0,3,35.0,8,6,13.0,17.0,68.0,54.0,1007.7,1004.2,6.0,6.0,30.9,33.7,0,1,1
83265,20.1,30.1,0.0,7.2,8.9,1,22.0,1,1,6.0,11.0,63.0,51.0,1016.2,1013.0,6.0,7.0,27.8,28.2,0,0,0
69580,16.4,36.4,0.0,10.8,13.7,12,44.0,9,15,13.0,20.0,38.0,6.0,1014.9,1012.6,1.0,2.0,23.4,34.0,0,0,0
13268,21.1,34.8,0.0,11.4,12.0,4,33.0,3,3,20.0,9.0,58.0,29.0,1016.2,1011.8,6.0,6.0,24.1,32.0,0,0,0
77151,13.1,26.6,0.0,7.0,13.0,11,41.0,13,11,9.0,19.0,66.0,45.0,1013.7,1011.8,3.0,7.0,18.1,24.6,0,0,0
98377,13.7,23.3,0.0,7.8,6.9,11,44.0,15,11,20.0,31.0,65.0,46.0,1015.8,1015.3,7.0,2.0,17.5,21.9,0,0,0
116098,24.3,32.0,0.0,10.0,8.5,7,37.0,7,14,13.0,19.0,61.0,61.0,1009.1,1009.1,1.0,5.0,29.3,28.7,0,0,0
61136,11.1,27.0,0.0,6.6,13.0,15,69.0,15,15,24.0,41.0,70.0,35.0,1011.6,1008.7,7.0,7.0,18.2,26.4,0,0,0
22017,20.2,23.9,0.0,6.4,5.6,0,43.0,0,2,30.0,24.0,73.0,78.0,1019.0,1017.9,3.0,7.0,22.9,22.3,0,0,0
